"name","type","company","description","amount","notes"
"Bernard Brochand","pro",,,,"Pas d'activité professionnelle Uniquement retraites et mandat de maire et député ainsi qu'activités mentionnées au 10 ci-dessous."
"Bernard Cazeau","pro",,,,
"Bernard Debré","pro",,,,
"Bernard Deflesselles","pro",,,,
"Bernard Delcros","pro",,"PUBLICATION A VENIR","PUBLICATION A VENIR",
"Bernard Fournier","pro",,,,
"Bernard Gérard","pro",,,,
"Bernard Lalande","pro",,"Gérant Société à responsabilités limitées Cabinet Lalande et Associés Expertise comptable et commissariat aux comptes","123000 EUR par an ",
"Bernard Lesterlin","pro",,,,
"Bernard Perrut","pro",,,,
"Bernard Reynès","pro",,,,
"Bernard Roman","pro",,,,
"Bernard Saugey","pro",,,,
"Bertrand Pancher","pro",,"Directeur développement ","2012 : 28010 EUR","01/2012 à 05/2012 : 10136 EUR rémunération nette imposable , Pour l'année 2012 - 28010 EUR rémunération nette imposable"
"Boinali Said","pro",,"Instituteur","19382 EUR par an","Instituteur de la collectivité départementale de Mayotte - 1615,24 EUR/mois (net)"
"Brigitte Allain","pro",,"Agriculteur ","2011 : 2379 EUR","Agriculture - EARL Les VIGONIES  -  exercice 2011 : 2151 EUR  - salaires et assimilés : 2379 EUR"
"Brigitte Bourguignon","pro",,"Fonctionnaire  Conseil general ","26400 EUR par an","Fonctionnaire (Cadre B) Conseil general chargée de mission - 2200"
"Brigitte Gonthier-Maurin","pro",,,,
"Brigitte Micouleau","pro",,"Assistante de direction à mi-temps","15252 EUR par an",
"Bruno Gilles","pro",,,,"En disponibilité non rémunérée  de mon employeur depuis 2002"
"Bruno Le Maire","pro",,"Conseiller régional de Haute Normandie","21000 EUR par an",
"Bruno Le Maire","pro",,"Ministre de l'Agriculture","146400 EUR par an","12 200 EUR / mois"
"Bruno Le Roux","pro",,,,
"Bruno Nestor Azerot","pro",,,,
"Bruno Retailleau","pro",,,,
"Bruno Sido","pro",,"Administrateur mémorial CDG",,
"Bruno Sido","pro",,"Agriculteur",,
"Bruno Sido","pro",,"Président du Conseil général 52","Rémunération légale",
"Bruno Sido","pro",,"Président GIP Haute-Marne",,
"Bruno Sido","pro",,"Président OPECST",,
"Bruno Sido","pro",,"Président SDIS 52",,
"Bruno Sido","pro",,"Secrétaire général ADF",,
"Camille de Rocca Serra","pro",,,,
"Carlos Da Silva","pro",,"Assistant parlementaire","23440 EUR par an","1800 EUR/mois sur 13 mois"
"Carole Delga","pro",,"PUBLICATION A VENIR","PUBLICATION A VENIR",
"Caroline Cayeux","pro",,"Exploitante agricole",,
"Caroline Cayeux","pro",,"Gérant de la société SC de Mars IV","12000 EUR par an","Gérant de la société SC de Mars IV"
"Catherine Beaubatie","pro",,"Enseignante ","15120 EUR par an","Enseignante (temps partiel) - environ 1260 EUR/mois"
"Catherine Coutelle","pro",,,,
"Catherine Deroche","pro",,,,
"Catherine Di Folco","pro",,,,
"Catherine Génisson","pro",,"Vacataire Anesthésiste-Réanimateur","16799 EUR par an","Vacataire en tant qu'Anesthésiste-Réanimateur au SAMU 62 du Centre Hospitalier d'Arras - 16799.86 EUR Voir Annexe n°1 de sept.2011 à Avril 2013"
"Catherine Lemorton","pro",,,,
"Catherine Morin-Desailly","pro",,,,
"Catherine Procaccia","pro",,,,
"Catherine Quéré","pro",,,,
"Catherine Tasca","pro",,,,
"Catherine Tasca","pro",,,,
"Catherine Troallic","pro",,"Fonctionnaire territoriale",,
"Catherine Troendlé","pro",,,,
"Catherine Vautrin","pro",,,,
"Cécile Cukierman","pro",,,,
"Cécile Duflot","pro",,"Ministre","94992 EUR par an","7916 EUR"
"Cécile Untermaier","pro",,"Magistrat administratif","74452 EUR par an","Magistrat administratif - 7° échelon échelle B2, 5621 EUR mensuel + prime annuelle (7000 EUR)."
"Cédric Perrin","pro",,"Attaché territorial stagiaire (chargé de mission)","37822,56 EUR par an",
"Céleste Lett","pro",,,,
"Chantal Berthelot","pro",,,,
"Chantal Deseyne","pro",,"Animation atelier d'encadrement d'art","2012:12264 EUR par an","2012:1022 EUR par mois"
"Chantal Deseyne","pro",,"Animation atelier d'encadrement d'art","2008: 15780 EUR par an","2008: 1315 EUR par mois"
"Chantal Deseyne","pro",,"Animation atelier d'encadrement d'art","2009: 16332 EUR par an","2009: 1361 EUR par mois"
"Chantal Deseyne","pro",,"Animation atelier d'encadrement d'art","2010: 13980 EUR par an","2010: 1165 EUR par mois"
"Chantal Deseyne","pro",,"Animation atelier d'encadrement d'art","2011: 14668 EUR par an","2011: 1224 EUR par mois"
"Chantal Guittet","pro",,"Retraitée",,"Retraité Education Nationale"
"Chantal Jouanno","pro",,"Ministre en charge des Sports","152136 EUR par an","12.678 EUR net mensuel"
"Charles de Courson","pro",,,,
"Charles de La Verpillière","pro",,"Agriculteur","3477 EUR par an","3477 EUR (2012)"
"Charles Guené","pro",,,,
"Charles Revet","pro",,,,
"Charles-Ange Ginesy","pro",,,,
"Chaynesse Khirouni","pro",,,,
"Christian Assaf","pro",,,,
"Christian Bataille","pro",,"Professeur certifié de Lettres retraité IRCANTEC ","2013 : 29462 EUR par an ",
"Christian Cambon","pro",,,,
"Christian Estrosi","pro",,,,
"Christian Favier","pro",,,,
"Christian Franqueville","pro",,,,
"Christian Hutin","pro",,"Médecin","2012 : -10769 EUR","2012 - Médecin activité libérale dans une société civile de moyens de 5 médecins - Déficit annuel 10769"
"Christian Jacob","pro",,,,
"Christian Kert","pro",,,,
"Christian Manable","pro",,"Retraité éducation nationale","27528 EUR par an ","2294 EUR par mois"
"Christian Namy","pro",,"Retraité","33 508 EUR par an ","Pension de retraite "
"Christian Paul","pro",,,,"Député - Indémnité parlementaire"
"Christiane Hummel","pro",,,,
"Christiane Kammermann","pro",,,,
"Christine Pires Beaune","pro",,"Directeur général des Services","50727 EUR par an","DGS Ville de Riom - 4227,28 net mai 2012"
"Christine Prunaud","pro",,,,
"Christophe Béchu","pro",,,,
"Christophe Borgel","pro",,,,
"Christophe Bouillon","pro",,,,
"Christophe Caresche","pro",,"Avocat",,"Avocat jusqu'au 30 juin 2012 Mise en omission à ma demande par le Conseil de l'Ordre (ci-joint arrêté)"
"Christophe Castaner","pro",,"Maire de Forcalquier","2011 : 74855 EUR","Revenus 2011 (+R2012) 74855 EUR"
"Christophe Castaner","pro",,"Président de communauté de communes",,
"Christophe Castaner","pro",,"Vice-président Conseil régional PACA",,
"Christophe Cavard","pro",,,,
"Christophe Guilloteau","pro",,,,
"Christophe Léonard","pro",,,,
"Christophe Premat","pro",,"Chargé de cours à l'Université de Stockholm ",,"Chargé de cours à l'Université de Stockholm (jusqu'au 30/06/2014) au département de langues romanes"
"Christophe Premat","pro",,"Professeur d'histoire à la Franska Skolan de Stockholm","18000 EUR par an","Professeur d'histoire à la Franska Skolan de Stockholm (jusqu'au 09/05/14) - 1500 EUR net (mensuel)"
"Christophe Priou","pro",,,,
"Christophe Sirugue","pro",,,,
"Christophe-André Frassa","pro",,,,
"Claire-Lise Campion","pro",,,,
"Claude Bartolone","pro",,,,
"Claude Bérit-Débat","pro",,,,
"Claude de Ganay","pro",,"Cadre de la fonction publique territoriale",,"Cadre de la fonction publique territoriale - 3560,39 EUR / mois jusqu'à la date de mon élection à l'AN (après détachement de plein droit)"
"Claude Goasguen","pro",,"Avocat",,"2012 : déficit"
"Claude Greff","pro",,,,
"Claude Haut","pro",,,,
"Claude Kern","pro",,"Enseignant (jusqu'au 31/10/2014)","41160 EUR par an ",
"Claude Malhuret","pro",,"Directeur département éthique Korian","63600 EUR par an","5300 EUR net par mois"
"Claude Nougein","pro",,"Président de NOUGEIN SA","101346 EUR par an","en 2013"
"Claude Raynal","pro",,"Premier conseiller de TA/CAA - Ministère de la justice (en détachement depuis le 01/01/2010 et en disponibilité depuis l'élection)",,
"Claude Sturni","pro",,,,
"Claudine Lepage","pro",,"Retraitée (cadre secteur formation)",,
"Claudine Schmid","pro",,,,
"Colette Capdevielle","pro",,"Avocate","2013 : 27317 EUR","Avocate inscrite au Barreau de Bayonne - en 2012 : 27 317 EUR en 2013 : déclaration pas encore établie par l'Expert comptable"
"Colette Giudicelli","pro",,,,
"Colette Langlade","pro",,,,
"Colette Mélot","pro",,,,
"Conchita Lacuey","pro",,,,
"Corinne Bouchoux","pro",,"Directrice des Formations AgroCampus Ouest (EPSCP) Ministère de l'agriculture (2007-2011)",,
"Corinne Bouchoux","pro",,"Ingenieure de Recherche","2011 : 45 789 EUR (janvier-sept 2011) 9 mois",
"Corinne Bouchoux","pro",,"Personnel de Direction de l'Education Nationale en détachement pour Mandat depuis 1/10/2011","2010 : 56 122 EUR (12 mois)",
"Corinne Erhel","pro",,,,
"Corinne Féret","pro",,"Responsable scolarité UFR, université Caen Basse Normandie","25172,76 EUR par an ","2097,73 EUR NET par mois"
"Corinne Imbert","pro",,"Pharmacien d'officine titulaire-gérant unique de l'EURL  pharmacie","122956 EUR par an","Pour 2012-2013, arrêté suivant non disponible à ce jour"
"Cyril Pellevat","pro",,"Manager ressources humaines","59893,68 EUR par an",
"Damien Abad","pro",,,,
"Damien Meslot","pro",,,,
"Daniel Boisserie","pro",,"Architecte","2012 : -8009 EUR","Déficit du cabinet "
"Daniel Chasseing","pro",,"Médecin libéral","77109 EUR par an","Revenu fiscal année 2013 : 77109 EUR"
"Daniel Chasseing","pro",,"Médecin salarié à temps partiel. Cessation au 31/12/2013","2271 EUR par an","Revenu déclaré année 2013 : 2271 EUR"
"Daniel Dubois","pro",,,,
"Daniel Fasquelle","pro",,"Consultant juridique","2013 : 15000 EUR","Rétributions variables cf. annexes. (document 1)"
"Daniel Fasquelle","pro",,"Consultant juridique","2009 : 15000 EUR ","Rétributions variables cf. annexes. (document 1)"
"Daniel Fasquelle","pro",,"Consultant juridique","2010 : 3000 EUR","Rétributions variables cf. annexes. (document 1)"
"Daniel Fasquelle","pro",,"Consultant juridique","2011 : 12500 EUR","Rétributions variables cf. annexes. (document 1)"
"Daniel Fasquelle","pro",,"Consultant juridique","2012 : 11000 EUR","Rétributions variables cf. annexes. (document 1)"
"Daniel Fasquelle","pro",,"Contributeur dans des revues juridiques","2013 : 893 EUR","Droits d'auteur"
"Daniel Fasquelle","pro",,"Contributeur dans des revues juridiques","2009 : 11943,15 EUR","Droits d'auteur (Dalloz, Wolters, Lextensio editions)"
"Daniel Fasquelle","pro",,"Contributeur dans des revues juridiques","2010 : 13554,30 EUR","Droits d'auteur (Dalloz, Lextensio editions)"
"Daniel Fasquelle","pro",,"Contributeur dans des revues juridiques","2011 : 1137 EUR","Droits d'auteur (Dalloz, Wolters, Gazette du Palais)"
"Daniel Fasquelle","pro",,"Contributeur dans des revues juridiques","2012 : 2310 EUR","Droits d'auteur"
"Daniel Fasquelle","pro",,"Professeur des universités ","33753 EUR par an","Professeur des universités à l'université du littoral côte d'Opale - 2812,79 EUR en moyenne par mois net (décharge d'enseignement) "
"Daniel Fasquelle","pro",,"Professeur des universités ","2009 : 5569 EUR ",
"Daniel Fasquelle","pro",,"Professeur des universités ","2012 : 39992,89 EUR","Traitement : Université du Littoral-Côte d'Opale : 39992 EUR "
"Daniel Fasquelle","pro",,"Professeur des universités ","2013 : 29660,32 EUR","Traitement : Université du Littoral-Côte d'Opale : 45991 EUR sachant que 1360,89 EUR par mois seront retenus au titre de la décharge de cours de 09 à 12/2013 "
"Daniel Fasquelle","pro",,"Professeur des universités - Skema Business School ","2010 : 4534 EUR",
"Daniel Fasquelle","pro",,"Professeur des universités - Université du Littoral-Côte d'Opale ","2010 : 49936 EUR",
"Daniel Fasquelle","pro",,"Professeur des universités Côte d'Opale  ","2011 : 40370 EUR",
"Daniel Fasquelle","pro",,"Professeur des universités Université du Littoral-Côte d'Opale ","2009 : 46105,81 EUR","Traitement : Université du Littoral-Côte d'Opale : 38926,81 et 7179 EUR"
"Daniel Gibbes","pro",,,,
"Daniel Goldberg","pro",,,,
"Daniel Gremillet","pro",,"Agriculteur EARL Remyllet","10665 EUR par an",
"Daniel Laurent","pro",,,,
"Daniel Percheron","pro",,,,"Sénateur"
"Daniel Raoul","pro",,,,
"Daniel Reiner","pro",,,,
"Daniel Vaillant","pro",,,,
"Danielle Auroi","pro",,"Retraitée","2013 : 45 494,28 EUR","Pension de retraite : 3791,19 EUR/mois soit 45 494,28 EUR en 2013"
"Danielle Michel","pro",,,,
"David Assouline","pro",,,,
"David Comet","pro",,,,
"David Douillet","pro",,"Co-gérant de société",,"Co-gérant société OURS BLANC"
"David Habib","pro",,,,
"David Rachline","pro",,,,
"Delphine Bataille","pro",,,,
"Delphine Batho","pro",,,,
"Denis Baupin","pro",,,,
"Denis Jacquat","pro",,,,
"Denys Robiliard","pro",,"avocat",,
"Didier Guillaume","pro",,,,
"Didier Mandelli","pro",,,,
"Didier Marie","pro",,,,
"Didier Quentin","pro",,,,
"Didier Robert","pro",,,,
"Dino Cinieri","pro",,,,
"Dominique Baert","pro",,,,
"Dominique Bailly","pro",,,,
"Dominique Bussereau","pro",,"Député","73580,64 EUR par an","Député depuis le 14.12.10 - Montant mensuel de l'indemnité (2011) 6131 EUR72"
"Dominique Bussereau","pro",,"Président du Conseil Général","2011 : 24684 EUR","Président du Conseil Général depuis le 20.03.08 - Après prélèvement à la source (2011) 2057 EUR29"
"Dominique Chauvel","pro",,,,
"Dominique de Legge","pro",,"Cessation de toute activité professionnelle en octobre 2008",,
"Dominique Dord","pro",,,,
"Dominique Estrosi Sassone","pro",,,,
"Dominique Gillot","pro",,,,
"Dominique Le Mèner","pro",,,,
"Dominique Lefebvre","pro",,"Conseiller maître à la Cour des comptes ",,"Conseiller maître à la Cour des comptes en situation de détachement à l'Assemblée nationale depuis le 18 juin 2012 - 0 EUR à compter du 30 juin 2012"
"Dominique Nachury","pro",,,,
"Dominique Orliac","pro",,"Médecin ophtalmologiste SCP","90500 EUR par an",
"Dominique Potier","pro",,"Agriculteur","4800 EUR par an","400 EUR / mois"
"Dominique Raimbourg","pro",,,,
"Dominique Tian","pro",,"Gérant de société","48000 EUR par an","Gérant d'OVER LINE, Société à responsabilité limitée au capital de 8 087 900 EUR Activité : Gestion de participations dans des sociétés françaises et étrangères - 48 000 EUR en 2013"
"Dominique Tian","pro",,"Maire de secteur 6e et 8e arrondissement de Marseille et conseiller municipal","2013 : 19989 EUR ","Indemnité nette déduction faite de la fraction représentative des frais d'emploi "
"Dominique Tian","pro",,"Maire des arrondissements 6ème et 7ème de Marseille","2013 : 19989 EUR","Maire de secteur 6ème et 8ème arrondissements de Marseille et Conseiller municipal - Indemnité 2013 : 19.989 EUR (indemnité nette déduction faite de la fraction représentative des frais d'emploi)"
"Dominique Tian","pro",,"Président de société","2013 : 1497 EUR ","Président de LE MEDITERRANEE CLINIQUE DE SOINS DE SUITE DU CASTELLAS Société par actions simplifiée au capital de 86 592 EUR Activité : Clinique de soins de suite - 1497 EUR net brut en 2013"
"Dominique Watrin","pro",,,,
"Edith Gueugneau","pro",,,,
"Édouard Courtial","pro",,"Conseiller en charge du développement international","93847 EUR par an","Conseiller en charge du développement international auprès du Président de MSH International, filiale du cabinet de courtage d'assurance SIACI St Honoré (salarié à temps partiel)  -  7219 EUR nets/mois sur 13 mois"
"Edouard Philippe","pro",,"Avocat",,"Je ne suis pas certain de comprendre la question. Vous voulez connaître mon taux horaire au jour de l'élection ? Ma rémunération mensuelle / annuelle moyenne ?"
"Edouard Philippe","pro",,"Maire du Havre",,"Maire du Havre - Indemnités fixées par le conseil municipal et le conseil communautaire. Le tout, évidemment dans le respect et sous le plafond fixé par la loi."
"Edouard Philippe","pro",,"Président de la CODAH",,"Indemnités fixées par le conseil municipal et le conseil communautaire. Le tout, évidemment dans le respect et sous le plafond fixé par la loi."
"Eduardo Rihan Cypel","pro",,"Collaborateur d'élu","37812 EUR par an","Collaborateur de Gilbert ROGER au Conseil général de la Seine-Saint-Denis - 3 111,51 EUR net/mois"
"Éliane Assassi","pro",,,,
"Éliane Giraud","pro",,,,
"Élie Aboud","pro",,"Vacataire Hospitalier","8580 EUR par an","Vacataire Hospitalier CHG Narbonne  - 715 EUR net/mois"
"Élisabeth Doineau","pro",,,,
"Elisabeth Guigou","pro",,"Conférence à l'IEP de Paris cours semestriel en master","2000 EUR par an",
"Elisabeth Guigou","pro",,"Publication d'un livre sur l'Europe prévue pour début aout 2014","2014: 3000 EUR",
"Elisabeth Lamure","pro",,,,
"Elisabeth Pochon","pro",,"Conseillère Principale d'Education","2012 : 27852 EUR ","2321 EUR  par  mois en 2012 (légèrement inférieur les années précédentes selon les échelons)"
"Emeric Bréhier","pro",,"Directeur de cabinet d'une collectivité territoriale","49645 EUR par an","Directeur de cabinet d'une collectivité territoriale de septembre 2008 à juin 2012 - 4137,11 EUR / mois"
"Éric Alauzet","pro",,"Médecin","42000 EUR par an","3500 x 12"
"Eric Bocquet","pro",,,,
"Éric Ciotti","pro",,,,
"Éric Doligé","pro",,,,
"Éric Jalton","pro",,"Chirurgien Dentiste (à temps très partiel) ","2012 : -15038 EUR","Déficit en 2012 de -15038 EUR AGA bénéfice 2013"
"Éric Jeansannetas","pro",,"Collaborateur du sénateur Jean-Jacques Lozach","46776 EUR par an","3898 EUR brut mensuel"
"Éric Straumann","pro",,,,
"Éric Woerth","pro",,,,
"Ericka Bareigts","pro",,,,
"Erwann Binet","pro",,,,
"Estelle Grelier","pro",,,,
"Esther Benbassa","pro",,"Directrice d'études ","54000 EUR par an","Directrice d'études à l'école pratique des hautes études 4-14 rue Ferrus, 75014 Paris - Env. 4500 EUR mensuels"
"Étienne Blanc","pro",,"Associé SARL","100 EUR","Ai conservé une part dans la SELARL BLANC LARMARAUD BOGUE ANGELI GOSSWEILER"
"Étienne Blanc","pro",,"Avocat (profession non exercée depuis 2002)",,
"Eva Sas","pro",,"Experte auprès des comités d'entreprise","24000 EUR par an ","2000 EUR net "
"Eva Sas","pro",,"Trésorière EELV","24000 EUR par an ","2000 EUR net "
"Évelyne Didier","pro",,,,
"Évelyne Yonnet-Salvator","pro",,,,
"Fabienne Keller","pro",,,,
"Fabrice Verdier","pro",,,,
"Fanélie Carrey-Conte","pro",,"Déléguée nationale d'association ","36872 EUR par an","Déléguée nationale de l'association L'ESPER (L'économie sociale partenaire de l'école de la République). Démission en juillet 2012"
"Fanny Dombre Coste","pro",,"Photographe artisan",,"Activité en sommeil depuis 2012"
"Félix Desplan","pro",,,,
"Fernand Siré","pro",,"Retraité","46276 EUR par an","pension de retraite"
"Florence Delaunay","pro",,"Attachée territoriale principale Côte Landes Nature","63600 EUR par an","Détachée le 27/09/2014"
"Florent Boudié","pro",,"Chargé de mission auprès du Directeur Général des services","2012 : 7318,86 EUR","Chargé de mission auprès du Directeur Général des services de la Ville de Libourne - -Temps partiel 50 % : du 1er au 17 juin 2012 -Net à payer : 1.219,81 EUR"
"Francis Delattre","pro",,,,
"Francis Hillmeyer","pro",,,,
"Francis Vercamer","pro",,,,
"Franck Gilard","pro",,,,
"Franck Marlin","pro",,,,
"Franck Montaugé","pro",,"En congé sans solde d'ERDF-GDF depuis avril 2008",,
"Franck Reynier","pro",,,,
"Franck Riester","pro",,"PDG de RIESTER AUTOMOBILES S.A., Concession automobiles PEUGEOT - Revenu net fiscal 2013: 12 927,72 EUR","2013 : 12927 EUR","PDG de RIESTER AUTOMOBILES S.A., Concession automobiles PEUGEOT - Revenu net fiscal 2013: 12 927,72 EUR"
"Franck Riester","pro",,"PDG de RIESTER CHATEAU S.A., Concession automobiles PEUGEOT","2013 : 16993 EUR","PDG de RIESTER CHATEAU S.A., Concession automobiles PEUGEOT - Revenu net fiscal 2013: 16 993,44 EUR"
"Franck Riester","pro",,"PDG de RIESTER S.A., Concession automobiles PEUGEOT","2013 : 26306 EUR","PDG de RIESTER S.A., Concession automobiles PEUGEOT - Revenu net fiscal 2013: 26 306,28 EUR Voiture Peugeot de fonction"
"Franck Riester","pro",,"Président de RIESTER EPERNAY S.A.S.",,
"François André","pro",,,,
"François Asensi","pro",,,,
"François Baroin","pro",,"Avocat exerçant en régime libéral ","Reprise des activités depuis le 22/07/2014, Les rémunérations, revenus, BNC ne sont connus qu'à la clotûre de l'année fiscale en cours ","Avocat, exerçant en application du régime encadrant les incompatibilités liées à l'exercice de mes actuels mandats de parlementaire et d'élu local. "
"François Bonhomme","pro",,,,
"François Calvet","pro",,,,
"François Commeinhes","pro",,"Médecin gynécologue obstétricien","2013 : 84051 EUR par an",
"François Commeinhes","pro",,"Président Polyclinique Sainte Thérèse","2013 : 51684 EUR par an",
"François Cornut-Gentille","pro",,,,
"François de Mazières","pro",,"Maire de Versailles","43920 EUR par an","Maire de Versailles - 3660 euro / mois"
"François de Mazières","pro",,"President de la cite de l'architecture et du patrimoine (CAP)","48972 EUR par an","4081 euro/ mois (mi-temps depuis avril 2008, date election comme maire de Versailles)"
"François de Mazières","pro",,"Président de Versailles Grand-Parc (VGP)","28944 EUR par an","2412 euro/ mois"
"François de Rugy","pro",,,,
"François de Rugy","pro",,"Député",,
"François Fillon","pro",,,,
"François Fortassin","pro",,"Retraité",,"Retraité de l'éducation nationale depuis 1999"
"François Grosdidier","pro",,,,
"François Lamy","pro",,"Ministre délégué à la Ville","100920 EUR par an","8410,39 net"
"François Loncle","pro",,,,
"François Marc","pro",,,,
"François Patriat","pro",,,,
"François Pillet","pro",,,,
"François Pupponi","pro",,"Administrateur des finances publiques ",,"Administrateur des finances publiques adjoint - Ministère des finances  En disponibilité"
"François Rochebloine","pro",,,,
"François Sauvadet","pro",,,,
"François Scellier","pro",,,,
"François Vannson","pro",,,,
"François Zocchetto","pro",,"Avocat","188583 EUR par an ","Estimation en 2013"
"Françoise Cartron","pro",,,,
"Françoise Descamps-Crosnier","pro",,,,
"Françoise Dubois","pro",,,,
"Françoise Dumas","pro",,"Auditeur interne","46981 EUR par an","3915,14 EUR mensuels"
"Françoise Férat","pro",,,,
"Françoise Gatel","pro",,,,
"Françoise Guégot","pro",,,,
"Françoise Imbert","pro",,,,
